Id,rdf_label,rdf_type,brick_isPartOf,brick_isFedBy
Room_02.07,Lobby 02.07,brick:Lobby,L02,
Room_02.08,Elec Plantroom 02.08,brick:Electrical_Room,L02,
Room_02.09,Services Lobby 02.09,brick:Lobby,L02,
Room_02.10,Lobby 02.10,brick:Lobby,L02,
Room_02.11,Services Lobby 02.11,brick:Lobby,L02,
Room_02.12,Plantroom 02.12,brick:Mechanical_Room,L02,
Room_02.13,Office 02.13,brick:Room,L02,
Room_02.31,T.Elec 02.31,brick:Electrical_Room,L02,
Room_02.32,T.Elec 02.32,brick:Electrical_Room,L02,
Room_02.33,T.Comms 02.33,brick:Communications_Room,L02,
Room_02.34,H.Comms 02.34,brick:Communications_Room,L02,
Room_02.37,T.Comms 02.37,brick:Communications_Room,L02,
Room_02.42,T.Comms 02.42,brick:Communications_Room,L02,
Room_02.45,T.Comms 02.45,brick:Communications_Room,L02,
Room_02.46,DAS 02.46,brick:Communications_Room,L02,
Room_02.51,Fire Equipment 02.51,brick:Room,L02,
Room_02.53,HV Riser 02.53,brick:Electrical_Room,L02,
Room_02.55,Diesel Fuel 02.55,brick:Room,L02,
Room_03.01,Fire Stair 03.01,brick:Room,L03,
Room_03.02,Fire Stair 03.02,brick:Room,L03,
Room_03.03,Office 03.03,brick:Room,L03,
Room_03.04,Male WC 03.04,brick:Restroom,L03,
Room_03.05,Female WC 03.05,brick:Restroom,L03,
Room_03.06,Acc WC 03.06,brick:Restroom,L03,
Room_03.07,Lobby 03.07,brick:Lobby,L03,
Room_03.08,Elec Plantroom 03.08,brick:Electrical_Room,L03,
Room_03.09,Services Lobby 03.09,brick:Lobby,L03,
Room_03.10,Lobby 03.10,brick:Lobby,L03,
Room_03.11,Services Lobby 03.11,brick:Lobby,L03,
Room_03.12,Plantroom 03.12,brick:Mechanical_Room,L03,
Room_03.13,Office 03.13,brick:Room,L03,
Room_03.31,T.Elec 03.31,brick:Electrical_Room,L03,
Room_03.32,T.Elec 03.32,brick:Electrical_Room,L03,
Room_03.33,T.Comms 03.33,brick:Communications_Room,L03,
Room_03.34,H.Comms 03.34,brick:Communications_Room,L03,
Room_03.37,T.Comms 03.37,brick:Communications_Room,L03,
Room_03.42,T.Comms 03.42,brick:Communications_Room,L03,
Room_03.45,T.Comms 03.45,brick:Communications_Room,L03,
Room_03.46,DAS 03.46,brick:Communications_Room,L03,
Room_03.51,Fire Equipment 03.51,brick:Room,L03,
Room_03.53,HV Riser 03.53,brick:Electrical_Room,L03,
Room_03.55,Diesel Fuel 03.55,brick:Room,L03,
Room_04.01,Fire Stair 04.01,brick:Room,L04,
Room_04.02,Fire Stair 04.02,brick:Room,L04,
Room_04.03,Office 04.03,brick:Room,L04,
Room_04.03,Office 04.03,brick:Room,L04,
Room_04.04,Male WC 04.04,brick:Restroom,L04,
Room_04.05,Female WC 04.05,brick:Restroom,L04,
Room_04.06,Acc WC 04.06,brick:Restroom,L04,
Room_04.07,Lobby 04.07,brick:Lobby,L04,
Room_04.08,Elec Plantroom 04.08,brick:Electrical_Room,L04,
Room_04.09,Services Lobby 04.09,brick:Lobby,L04,
Room_04.10,Lobby 04.10,brick:Lobby,L04,
Room_04.11,Services Lobby 04.11,brick:Lobby,L04,
Room_04.12,Plantroom 04.12,brick:Mechanical_Room,L04,
Room_04.13,Office 04.13,brick:Room,L04,
Room_04.31,T.Elec 04.31,brick:Electrical_Room,L04,
Room_04.32,T.Elec 04.32,brick:Electrical_Room,L04,
Room_04.33,T.Comms 04.33,brick:Communications_Room,L04,
Room_04.34,H.Comms 04.34,brick:Communications_Room,L04,
Room_04.42,T.Comms 04.42,brick:Communications_Room,L04,
Room_04.45,T.Comms 04.45,brick:Communications_Room,L04,
Room_04.46,DAS 04.46,brick:Communications_Room,L04,
Room_04.51,Fire Equipment 04.51,brick:Room,L04,
Room_04.53,HV Riser 04.53,brick:Electrical_Room,L04,
Room_04.54,T.Comms 04.54,brick:Communications_Room,L04,
Room_04.55,Diesel Fuel 04.55,brick:Room,L04,
Room_05.01,Fire Stair 05.01,brick:Room,L05,
Room_05.02,Fire Stair 05.02,brick:Room,L05,
Room_05.03,Plantroom 05.03,brick:Mechanical_Room,L05,
Room_05.06,Unisex WC 05.06,brick:Restroom,L05,
Room_05.07,Plantroom 05.07,brick:Mechanical_Room,L05,
Room_05.08,Elec Plantroom 05.08,brick:Electrical_Room,L05,
Room_05.09,Services Lobby 05.09,brick:Lobby,L05,
Room_05.10,Plantroom 05.10,brick:Mechanical_Room,L05,
Room_05.11,Services Lobby 05.11,brick:Lobby,L05,
Room_05.12,Plantroom 05.12,brick:Mechanical_Room,L05,
Room_05.13,Plantroom 05.13,brick:Mechanical_Room,L05,
Room_05.14,KE Fan & BIS Lift Control Room 05.14,brick:Mechanical_Room,L05,
Room_05.15,KE Fan Room 05.15,brick:Mechanical_Room,L05,
Room_05.16,Generator Room 05.16,brick:Generator_Room,L05,
Room_05.17,Tenant Generator Room 05.17,brick:Generator_Room,L05,
Room_05.18,KE Fan Room 05.18,brick:Mechanical_Room,L05,
Room_05.33,T.Comms 05.33,brick:Communications_Room,L05,
Room_05.34,H.Comms 05.34,brick:Communications_Room,L05,
Room_05.42,T.Comms 05.42,brick:Communications_Room,L05,
Room_05.45,T.Comms 05.45,brick:Communications_Room,L05,
Room_05.46,DAS 05.46,brick:Communications_Room,L05,
Room_05.51,Fire Equipment 05.51,brick:Room,L05,
Room_05.53,HV Riser 05.53,brick:Electrical_Room,L05,
Room_05.54,T.Comms 05.54,brick:Communications_Room,L05,
Room_05.55,Diesel Fuel 05.55,brick:Room,L05,
Room_05.XX,External Terrace - East,brick:Room,L05,
Room_05.XX,External Terrace - West,brick:Room,L05,
Room_05M.01,Fire Stair 05M.01,brick:Room,L05M,
Room_05M.02,Fire Stair 05M.02,brick:Room,L05M,
Room_05M.03,Plantroom 05M.03,brick:Mechanical_Room,L05M,
Room_05M.07,Plantroom 05M.07,brick:Mechanical_Room,L05M,
Room_05M.08,Elec Plantroom 05M.08,brick:Electrical_Room,L05M,
Room_05M.09,Services Lobby 05M.09,brick:Lobby,L05M,
Room_05M.10,Plantroom 05M.10,brick:Mechanical_Room,L05M,
Room_05M.11,Services Lobby 05M.11,brick:Lobby,L05M,
Room_05M.12,Plantroom 05M.12,brick:Mechanical_Room,L05M,
Room_05M.13,Plantroom 05M.13,brick:Mechanical_Room,L05M,
Room_05M.14,Plantroom 05M.14,brick:Mechanical_Room,L05M,
Room_05M.16,Plantroom 05M.16,brick:Mechanical_Room,L05M,
Room_05M.17,House Generator Switch Room 05M.17,brick:Generator_Room,L05M,
Room_05M.18,KE Fan Room 05M.18,brick:Mechanical_Room,L05M,
Room_05M.33,T.Comms 05M.33,brick:Communications_Room,L05M,
Room_05M.34,H.Comms 05M.34,brick:Communications_Room,L05M,
Room_05M.42,T.Comms 05M.42,brick:Communications_Room,L05M,
Room_05M.46,DAS 05M.46,brick:Communications_Room,L05M,
Room_05M.51,Fire Equipment 05M.51,brick:Room,L05M,
Room_05M.53,HV Riser 05M.53,brick:Electrical_Room,L05M,
Room_05M.54,T.Comms 05M.54,brick:Communications_Room,L05M,
Room_05M.55,Diesel Fuel 05M.55,brick:Room,L05M,
Room_06.01,Fire Stair 06.01,brick:Room,L06,
Room_06.02,Fire Stair 06.02,brick:Room,L06,
Room_06.03,Office 06.03,brick:Room,L06,
Room_06.04,Male WC 06.04,brick:Restroom,L06,
Room_06.05,Female WC 06.05,brick:Restroom,L06,
Room_06.06,Acc WC 06.06,brick:Restroom,L06,
Room_06.07,Lobby 06.07,brick:Lobby,L06,
Room_06.08,Elec Plantroom 06.08,brick:Electrical_Room,L06,
Room_06.09,Services Lobby 06.09,brick:Lobby,L06,
Room_06.10,Lobby 06.10,brick:Lobby,L06,
Room_06.11,Services Lobby 06.11,brick:Lobby,L06,
Room_06.12,Plantroom 06.12,brick:Mechanical_Room,L06,
Room_06.13,Lobby 06.13,brick:Lobby,L06,
Room_06.31,T.Elec 06.31,brick:Electrical_Room,L06,
Room_06.32,T.Elec 06.32,brick:Electrical_Room,L06,
Room_06.33,T.Comms 06.33,brick:Communications_Room,L06,
Room_06.34,H.Comms 06.34,brick:Communications_Room,L06,
Room_06.41,Fire Equipment 06.41,brick:Room,L06,
Room_06.42,T.Comms 06.42,brick:Communications_Room,L06,
Room_06.46,DAS 06.46,brick:Communications_Room,L06,
Room_06.51,Fire Equipment 06.51,brick:Room,L06,
Room_06.53,HV Riser 06.53,brick:Electrical_Room,L06,
Room_06.54,T.Comms 06.54,brick:Communications_Room,L06,
Room_06.55,Diesel Fuel 06.55,brick:Room,L06,
Room_07.01,Fire Stair 07.01,brick:Room,L07,
Room_07.02,Fire Stair 07.02,brick:Room,L07,
Room_07.03,Office 07.03,brick:Room,L07,
Room_07.04,Male WC 07.04,brick:Restroom,L07,
Room_07.05,Female WC 07.05,brick:Restroom,L07,
Room_07.06,Acc WC 07.06,brick:Restroom,L07,
Room_07.07,Lobby 07.07,brick:Lobby,L07,
Room_07.08,Elec Plantroom 07.08,brick:Electrical_Room,L07,
Room_07.09,Services Lobby 07.09,brick:Lobby,L07,
Room_07.10,Lobby 07.10,brick:Lobby,L07,
Room_07.11,Services Lobby 07.11,brick:Lobby,L07,
Room_07.12,Plantroom 07.12,brick:Mechanical_Room,L07,
Room_07.13,Lobby 07.13,brick:Lobby,L07,
Room_07.31,T.Elec 07.31,brick:Electrical_Room,L07,
Room_07.32,T.Elec 07.32,brick:Electrical_Room,L07,
Room_07.33,T.Comms 07.33,brick:Communications_Room,L07,
Room_07.34,H.Comms 07.34,brick:Communications_Room,L07,
Room_07.41,Fire Equipment 07.41,brick:Room,L07,
Room_07.42,T.Comms 07.42,brick:Communications_Room,L07,
Room_07.46,DAS 07.46,brick:Communications_Room,L07,
Room_07.51,Fire Equipment 07.51,brick:Room,L07,
Room_07.53,HV Riser 07.53,brick:Electrical_Room,L07,
Room_07.54,T.Comms 07.54,brick:Communications_Room,L07,
Room_07.55,Diesel Fuel 07.55,brick:Room,L07,
Room_08.01,Fire Stair 08.01,brick:Room,L08,
Room_08.02,Fire Stair 08.02,brick:Room,L08,
Room_08.03,Office 08.03,brick:Room,L08,
Room_08.04,Male WC 08.04,brick:Restroom,L08,
Room_08.05,Female WC 08.05,brick:Restroom,L08,
Room_08.06,Acc WC 08.06,brick:Restroom,L08,
Room_08.07,Lobby 08.07,brick:Lobby,L08,
Room_08.08,Elec Plantroom 08.08,brick:Electrical_Room,L08,
Room_08.09,Services Lobby 08.09,brick:Lobby,L08,
Room_08.10,Lobby 08.10,brick:Lobby,L08,
Room_08.11,Services Lobby 08.11,brick:Lobby,L08,
Room_08.12,Plantroom 08.12,brick:Mechanical_Room,L08,
Room_08.13,Lobby 08.13,brick:Lobby,L08,
Room_08.31,T.Elec 08.31,brick:Electrical_Room,L08,
Room_08.32,T.Elec 08.32,brick:Electrical_Room,L08,
Room_08.33,T.Comms 08.33,brick:Communications_Room,L08,
Room_08.34,H.Comms 08.34,brick:Communications_Room,L08,
Room_08.41,Fire Equipment 08.41,brick:Room,L08,
Room_08.42,T.Comms 08.42,brick:Communications_Room,L08,
Room_08.46,DAS 08.46,brick:Communications_Room,L08,
Room_08.51,Fire Equipment 08.51,brick:Room,L08,
Room_08.53,HV Riser 08.53,brick:Electrical_Room,L08,
Room_08.54,T.Comms 08.54,brick:Communications_Room,L08,
Room_08.55,Diesel Fuel 08.55,brick:Room,L08,
Room_09.01,Fire Stair 09.01,brick:Room,L09,
Room_09.02,Fire Stair 09.02,brick:Room,L09,
Room_09.03,Office 09.03,brick:Room,L09,
Room_09.04,Male WC 09.04,brick:Restroom,L09,
Room_09.05,Female WC 09.05,brick:Restroom,L09,
Room_09.06,Acc WC 09.06,brick:Restroom,L09,
Room_09.07,Lobby 09.07,brick:Lobby,L09,
Room_09.08,Elec Plantroom 09.08,brick:Electrical_Room,L09,
Room_09.09,Services Lobby 09.09,brick:Lobby,L09,
Room_09.10,Lobby 09.10,brick:Lobby,L09,
Room_09.11,Services Lobby 09.11,brick:Lobby,L09,
Room_09.12,Plantroom 09.12,brick:Mechanical_Room,L09,
Room_09.13,Lobby 09.13,brick:Lobby,L09,
Room_09.31,T.Elec 09.31,brick:Electrical_Room,L09,
Room_09.32,T.Elec 09.32,brick:Electrical_Room,L09,
Room_09.33,T.Comms 09.33,brick:Communications_Room,L09,
Room_09.34,H.Comms 09.34,brick:Communications_Room,L09,
Room_09.41,Fire Equipment 09.41,brick:Room,L09,
Room_09.42,T.Comms 09.42,brick:Communications_Room,L09,
Room_09.46,DAS 09.46,brick:Communications_Room,L09,
Room_09.51,Fire Equipment 09.51,brick:Room,L09,
Room_09.53,HV Riser 09.53,brick:Electrical_Room,L09,
Room_09.54,T.Comms 09.54,brick:Communications_Room,L09,
Room_09.55,Diesel Fuel 09.55,brick:Room,L09,
Room_10.01,Fire Stair 10.01,brick:Room,L10,
Room_10.02,Fire Stair 10.02,brick:Room,L10,
Room_10.03,Office 10.03,brick:Room,L10,
Room_10.04,Male WC 10.04,brick:Restroom,L10,
Room_10.05,Female WC 10.05,brick:Restroom,L10,
Room_10.06,Acc WC 10.06,brick:Restroom,L10,
Room_10.07,Lobby 10.07,brick:Lobby,L10,
Room_10.08,Elec Plantroom 10.08,brick:Electrical_Room,L10,
Room_10.09,Services Lobby 10.09,brick:Lobby,L10,
Room_10.10,Lobby 10.10,brick:Lobby,L10,
Room_10.11,Services Lobby 10.11,brick:Lobby,L10,
Room_10.12,Plantroom 10.12,brick:Mechanical_Room,L10,
Room_10.13,Lobby 10.13,brick:Lobby,L10,
Room_10.31,T.Elec 10.31,brick:Electrical_Room,L10,
Room_10.32,T.Elec 10.32,brick:Electrical_Room,L10,
Room_10.33,T.Comms 10.33,brick:Communications_Room,L10,
Room_10.34,H.Comms 10.34,brick:Communications_Room,L10,
Room_10.41,Fire Equipment 10.41,brick:Room,L10,
Room_10.42,T.Comms 10.42,brick:Communications_Room,L10,
Room_10.46,DAS 10.46,brick:Communications_Room,L10,
Room_10.51,Fire Equipment 10.51,brick:Room,L10,
Room_10.53,HV Riser 10.53,brick:Electrical_Room,L10,
Room_10.54,T.Comms 10.54,brick:Communications_Room,L10,
Room_10.55,Diesel Fuel 10.55,brick:Room,L10,
Room_11.01,Fire Stair 11.01,brick:Room,L11,
Room_11.02,Fire Stair 11.02,brick:Room,L11,
Room_11.03,Office 11.03,brick:Room,L11,
Room_11.04,Male WC 11.04,brick:Restroom,L11,
Room_11.05,Female WC 11.05,brick:Restroom,L11,
Room_11.06,Acc WC 11.06,brick:Restroom,L11,
Room_11.07,Lobby 11.07,brick:Lobby,L11,
Room_11.08,Elec Plantroom 11.08,brick:Electrical_Room,L11,
Room_11.09,Services Lobby 11.09,brick:Lobby,L11,
Room_11.10,Lobby 11.10,brick:Lobby,L11,
Room_11.11,Services Lobby 11.11,brick:Lobby,L11,
Room_11.12,Plantroom 11.12,brick:Mechanical_Room,L11,
Room_11.13,Lobby 11.13,brick:Lobby,L11,
Room_11.31,T.Elec 11.31,brick:Electrical_Room,L11,
Room_11.32,T.Elec 11.32,brick:Electrical_Room,L11,
Room_11.33,T.Comms 11.33,brick:Communications_Room,L11,
Room_11.34,H.Comms 11.34,brick:Communications_Room,L11,
Room_11.41,Fire Equipment 11.41,brick:Room,L11,
Room_11.42,T.Comms 11.42,brick:Communications_Room,L11,
Room_11.46,DAS 11.46,brick:Communications_Room,L11,
Room_11.51,Fire Equipment 11.51,brick:Room,L11,
Room_11.53,HV Riser 11.53,brick:Electrical_Room,L11,
Room_11.54,T.Comms 11.54,brick:Communications_Room,L11,
Room_11.55,Diesel Fuel 11.55,brick:Room,L11,
Room_12.01,Fire Stair 12.01,brick:Room,L12,
Room_12.02,Fire Stair 12.02,brick:Room,L12,
Room_12.03,Office 12.03,brick:Room,L12,
Room_12.04,Male WC 12.04,brick:Restroom,L12,
Room_12.05,Female WC 12.05,brick:Restroom,L12,
Room_12.06,Acc WC 12.06,brick:Restroom,L12,
Room_12.07,Lobby 12.07,brick:Lobby,L12,
Room_12.08,Elec Plantroom 12.08,brick:Electrical_Room,L12,
Room_12.09,Services Lobby 12.09,brick:Lobby,L12,
Room_12.10,Lobby 12.10,brick:Lobby,L12,
Room_12.11,Services Lobby 12.11,brick:Lobby,L12,
Room_12.12,Plantroom 12.12,brick:Mechanical_Room,L12,
Room_12.13,Lobby 12.13,brick:Lobby,L12,
Room_12.31,T.Elec 12.31,brick:Electrical_Room,L12,
Room_12.32,T.Elec 12.32,brick:Electrical_Room,L12,
Room_12.33,T.Comms 12.33,brick:Communications_Room,L12,
Room_12.34,H.Comms 12.34,brick:Communications_Room,L12,
Room_12.41,Fire Equipment 12.41,brick:Room,L12,
Room_12.42,T.Comms 12.42,brick:Communications_Room,L12,
Room_12.46,DAS 12.46,brick:Communications_Room,L12,
Room_12.51,Fire Equipment 12.51,brick:Room,L12,
Room_12.53,HV Riser 12.53,brick:Electrical_Room,L12,
Room_12.54,T.Comms 12.54,brick:Communications_Room,L12,
Room_12.55,Diesel Fuel 12.55,brick:Room,L12,
Room_13.01,Fire Stair 13.01,brick:Room,L13,
Room_13.02,Fire Stair 13.02,brick:Room,L13,
Room_13.03,Office 13.03,brick:Room,L13,
Room_13.04,Male WC 13.04,brick:Restroom,L13,
Room_13.05,Female WC 13.05,brick:Restroom,L13,
Room_13.06,Acc WC 13.06,brick:Restroom,L13,
Room_13.07,Lobby 13.07,brick:Lobby,L13,
Room_13.08,Elec Plantroom 13.08,brick:Electrical_Room,L13,
Room_13.09,Services Lobby 13.09,brick:Lobby,L13,
Room_13.10,Lobby 13.10,brick:Lobby,L13,
Room_13.11,Services Lobby 13.11,brick:Lobby,L13,
Room_13.12,Plantroom 13.12,brick:Mechanical_Room,L13,
Room_13.13,Lobby 13.13,brick:Lobby,L13,
Room_13.31,T.Elec 13.31,brick:Electrical_Room,L13,
Room_13.32,T.Elec 13.32,brick:Electrical_Room,L13,
Room_13.33,T.Comms 13.33,brick:Communications_Room,L13,
Room_13.34,H.Comms 13.34,brick:Communications_Room,L13,
Room_13.41,Fire Equipment 13.41,brick:Room,L13,
Room_13.42,T.Comms 13.42,brick:Communications_Room,L13,
Room_13.46,DAS 13.46,brick:Communications_Room,L13,
Room_13.51,Fire Equipment 13.51,brick:Room,L13,
Room_13.53,HV Riser 13.53,brick:Electrical_Room,L13,
Room_13.54,T.Comms 13.54,brick:Communications_Room,L13,
Room_13.55,Diesel Fuel 13.55,brick:Room,L13,
Room_14.01,Fire Stair 14.01,brick:Room,L14,
Room_14.02,Fire Stair 14.02,brick:Room,L14,
Room_14.03,Office 14.03,brick:Room,L14,
Room_14.04,Male WC 14.04,brick:Restroom,L14,
Room_14.05,Female WC 14.05,brick:Restroom,L14,
Room_14.06,Acc WC 14.06,brick:Restroom,L14,
Room_14.07,Lobby 14.07,brick:Lobby,L14,
Room_14.08,Elec Plantroom 14.08,brick:Electrical_Room,L14,
Room_14.09,Services Lobby 14.09,brick:Lobby,L14,
Room_14.10,Lobby 14.10,brick:Lobby,L14,
Room_14.11,Services Lobby 14.11,brick:Lobby,L14,
Room_14.12,Plantroom 14.12,brick:Mechanical_Room,L14,
Room_14.13,Lobby 14.13,brick:Lobby,L14,
Room_14.31,T.Elec 14.31,brick:Electrical_Room,L14,
Room_14.32,T.Elec 14.32,brick:Electrical_Room,L14,
Room_14.33,T.Comms 14.33,brick:Communications_Room,L14,
Room_14.34,H.Comms 14.34,brick:Communications_Room,L14,
Room_14.41,Fire Equipment 14.41,brick:Room,L14,
Room_14.42,T.Comms 14.42,brick:Communications_Room,L14,
Room_14.46,DAS 14.46,brick:Communications_Room,L14,
Room_14.51,Fire Equipment 14.51,brick:Room,L14,
Room_14.53,HV Riser 14.53,brick:Electrical_Room,L14,
Room_14.54,T.Comms 14.54,brick:Communications_Room,L14,
Room_14.55,Diesel Fuel 14.55,brick:Room,L14,
Room_15.01,Fire Stair 15.01,brick:Room,L15,
Room_15.02,Fire Stair 15.02,brick:Room,L15,
Room_15.03,Office 15.03,brick:Room,L15,
Room_15.04,Male WC 15.04,brick:Restroom,L15,
Room_15.05,Female WC 15.05,brick:Restroom,L15,
Room_15.06,Acc WC 15.06,brick:Restroom,L15,
Room_15.07,Lobby 15.07,brick:Lobby,L15,
Room_15.08,Elec Plantroom 15.08,brick:Electrical_Room,L15,
Room_15.09,Services Lobby 15.09,brick:Lobby,L15,
Room_15.10,Lobby 15.10,brick:Lobby,L15,
Room_15.11,Services Lobby 15.11,brick:Lobby,L15,
Room_15.12,Plantroom 15.12,brick:Mechanical_Room,L15,
Room_15.13,Lobby 15.13,brick:Lobby,L15,
Room_15.31,T.Elec 15.31,brick:Electrical_Room,L15,
Room_15.32,T.Elec 15.32,brick:Electrical_Room,L15,
Room_15.33,T.Comms 15.33,brick:Communications_Room,L15,
Room_15.34,H.Comms 15.34,brick:Communications_Room,L15,
Room_15.41,Fire Equipment 15.41,brick:Room,L15,
Room_15.42,T.Comms 15.42,brick:Communications_Room,L15,
Room_15.46,DAS 15.46,brick:Communications_Room,L15,
Room_15.51,Fire Equipment 15.51,brick:Room,L15,
Room_15.53,HV Riser 15.53,brick:Electrical_Room,L15,
Room_15.54,T.Comms 15.54,brick:Communications_Room,L15,
Room_15.55,Diesel Fuel 15.55,brick:Room,L15,
Room_16.01,Fire Stair 16.01,brick:Room,L16,
Room_16.02,Fire Stair 16.02,brick:Room,L16,
Room_16.03,Office 16.03,brick:Room,L16,
Room_16.04,Male WC 16.04,brick:Restroom,L16,
Room_16.05,Female WC 16.05,brick:Restroom,L16,
Room_16.06,Acc WC 16.06,brick:Restroom,L16,
Room_16.07,Lobby 16.07,brick:Lobby,L16,
Room_16.08,Elec Plantroom 16.08,brick:Electrical_Room,L16,
Room_16.09,Services Lobby 16.09,brick:Lobby,L16,
Room_16.10,Lobby 16.10,brick:Lobby,L16,
Room_16.11,Services Lobby 16.11,brick:Lobby,L16,
Room_16.12,Plantroom 16.12,brick:Mechanical_Room,L16,
Room_16.13,Lobby 16.13,brick:Lobby,L16,
Room_16.31,T.Elec 16.31,brick:Electrical_Room,L16,
Room_16.32,T.Elec 16.32,brick:Electrical_Room,L16,
Room_16.33,T.Comms 16.33,brick:Communications_Room,L16,
Room_16.34,H.Comms 16.34,brick:Communications_Room,L16,
Room_16.41,Fire Equipment 16.41,brick:Room,L16,
Room_16.42,T.Comms 16.42,brick:Communications_Room,L16,
Room_16.46,DAS 16.46,brick:Communications_Room,L16,
Room_16.51,Fire Equipment 16.51,brick:Room,L16,
Room_16.53,HV Riser 16.53,brick:Electrical_Room,L16,
Room_16.54,T.Comms 16.54,brick:Communications_Room,L16,
Room_16.55,Diesel Fuel 16.55,brick:Room,L16,
Room_17.01,Fire Stair 17.01,brick:Room,L17,
Room_17.02,Fire Stair 17.02,brick:Room,L17,
Room_17.03,Office 17.03,brick:Room,L17,
Room_17.04,Male WC 17.04,brick:Restroom,L17,
Room_17.05,Female WC 17.05,brick:Restroom,L17,
