Id,rdf_label,rdf_type,brick_hasUnit,EBO_path,brick_isPartOf,brick_isPointOf,brick_hasLocation,brick_isFedBy
F-T-29-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-29-FSPR-001_Alarm//Value,,F-T-29-FSPR-001,,
F-T-30-FDETR-001,F-T-30-FDETR-001,brick:Fire_Sensor,,,,,L30,
F-T-30-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-30-FDETR-001_Alarm//Value,,F-T-30-FDETR-001,,
F-T-30-FSPR-001,F-T-30-FSPR-001,ext:Fire_Sprinkler,,,,,L30,
F-T-30-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-30-FSPR-001_Alarm//Value,,F-T-30-FSPR-001,,
F-T-31-FDETR-001,F-T-31-FDETR-001,brick:Fire_Sensor,,,,,L31,
F-T-31-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-31-FDETR-001_Alarm//Value,,F-T-31-FDETR-001,,
F-T-31-FSPR-001,F-T-31-FSPR-001,ext:Fire_Sprinkler,,,,,L31,
F-T-31-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-31-FSPR-001_Alarm//Value,,F-T-31-FSPR-001,,
F-T-32-FDETR-001,F-T-32-FDETR-001,brick:Fire_Sensor,,,,,L32,
F-T-32-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-32-FDETR-001_Alarm//Value,,F-T-32-FDETR-001,,
F-T-32-FSPR-001,F-T-32-FSPR-001,ext:Fire_Sprinkler,,,,,L32,
F-T-32-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-32-FSPR-001_Alarm//Value,,F-T-32-FSPR-001,,
F-T-33-FDETR-001,F-T-33-FDETR-001,brick:Fire_Sensor,,,,,L33,
F-T-33-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-33-FDETR-001_Alarm//Value,,F-T-33-FDETR-001,,
F-T-33-FSPR-001,F-T-33-FSPR-001,ext:Fire_Sprinkler,,,,,L33,
F-T-33-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-33-FSPR-001_Alarm//Value,,F-T-33-FSPR-001,,
F-T-34-FDETR-001,F-T-34-FDETR-001,brick:Fire_Sensor,,,,,L34,
F-T-34-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-34-FDETR-001_Alarm//Value,,F-T-34-FDETR-001,,
F-T-34-FSPR-001,F-T-34-FSPR-001,ext:Fire_Sprinkler,,,,,L34,
F-T-34-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-34-FSPR-001_Alarm//Value,,F-T-34-FSPR-001,,
F-T-35-FDETR-001,F-T-35-FDETR-001,brick:Fire_Sensor,,,,,L35,
F-T-35-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-35-FDETR-001_Alarm//Value,,F-T-35-FDETR-001,,
F-T-35-FSPR-001,F-T-35-FSPR-001,ext:Fire_Sprinkler,,,,,L35,
F-T-35-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-35-FSPR-001_Alarm//Value,,F-T-35-FSPR-001,,
F-T-36-FDETR-001,F-T-36-FDETR-001,brick:Fire_Sensor,,,,,L36,
F-T-36-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-36-FDETR-001_Alarm//Value,,F-T-36-FDETR-001,,
F-T-36-FSPR-001,F-T-36-FSPR-001,ext:Fire_Sprinkler,,,,,L36,
F-T-36-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-36-FSPR-001_Alarm//Value,,F-T-36-FSPR-001,,
F-T-37-FDETR-001,F-T-37-FDETR-001,brick:Fire_Sensor,,,,,L37,
F-T-37-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-37-FDETR-001_Alarm//Value,,F-T-37-FDETR-001,,
F-T-37-FSPR-001,F-T-37-FSPR-001,ext:Fire_Sprinkler,,,,,L37,
F-T-37-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-37-FSPR-001_Alarm//Value,,F-T-37-FSPR-001,,
F-T-38-FDETR-001,F-T-38-FDETR-001,brick:Fire_Sensor,,,,,L38,
F-T-38-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-38-FDETR-001_Alarm//Value,,F-T-38-FDETR-001,,
F-T-38-FSPR-001,F-T-38-FSPR-001,ext:Fire_Sprinkler,,,,,L38,
F-T-38-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-38-FSPR-001_Alarm//Value,,F-T-38-FSPR-001,,
F-T-39-FDETR-001,F-T-39-FDETR-001,brick:Fire_Sensor,,,,,L39,
F-T-39-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-39-FDETR-001_Alarm//Value,,F-T-39-FDETR-001,,
F-T-39-FSPR-001,F-T-39-FSPR-001,ext:Fire_Sprinkler,,,,,L39,
F-T-39-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-39-FSPR-001_Alarm//Value,,F-T-39-FSPR-001,,
F-T-40-FDETR-001,F-T-40-FDETR-001,brick:Fire_Sensor,,,,,L40,
F-T-40-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-40-FDETR-001_Alarm//Value,,F-T-40-FDETR-001,,
F-T-40-FSPR-001,F-T-40-FSPR-001,ext:Fire_Sprinkler,,,,,L40,
F-T-40-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-40-FSPR-001_Alarm//Value,,F-T-40-FSPR-001,,
F-T-41-FDETR-001,F-T-41-FDETR-001,brick:Fire_Sensor,,,,,L41,
F-T-41-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-41-FDETR-001_Alarm//Value,,F-T-41-FDETR-001,,
F-T-41-FSPR-001,F-T-41-FSPR-001,ext:Fire_Sprinkler,,,,,L41,
F-T-41-FSPR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-41-FSPR-001_Alarm//Value,,F-T-41-FSPR-001,,
F-T-42-FDETR-001,F-T-42-FDETR-001,brick:Fire_Sensor,,,,,L42,
F-T-42-FDETR-001_Alarm,Common Alarm,brick:Alarm,,/EB-T-B1-UACPCFES-001/Fire/Modbus TCP Network/F-T-LG-FCP-001/F-T-42-FDETR-001_Alarm//Value,,F-T-42-FDETR-001,,
